Time,Machine name,Batch
06:14:49.245,T3X0_001,Default
06:15:19.525,T3X0_001,Default
06:15:49.789,T3X0_001,Default
06:16:20.068,T3X0_001,Default
06:16:50.348,T3X0_001,Default
06:17:20.596,T3X0_001,Default
06:17:50.876,T3X0_001,Default
06:18:21.156,T3X0_001,Default
06:18:51.420,T3X0_001,Default
06:19:21.684,T3X0_001,Default
06:19:51.948,T3X0_001,Default
06:20:22.196,T3X0_001,Default
06:20:52.476,T3X0_001,Default
06:21:22.724,T3X0_001,Default
06:21:52.988,T3X0_001,Default
06:22:23.268,T3X0_001,Default
06:22:53.532,T3X0_001,Default
06:23:23.811,T3X0_001,Default
06:23:54.075,T3X0_001,Default
06:24:24.324,T3X0_001,Default
06:24:54.588,T3X0_001,Default
06:25:24.867,T3X0_001,Default
06:25:55.147,T3X0_001,Default
06:26:25.411,T3X0_001,Default
06:26:55.675,T3X0_001,Default
06:27:25.954,T3X0_001,Default
06:27:56.234,T3X0_001,Default
06:28:26.498,T3X0_001,Default
06:28:56.825,T3X0_001,Default
06:29:27.089,T3X0_001,Default
06:29:57.369,T3X0_001,Default
06:30:27.649,T3X0_001,Default
06:30:57.944,T3X0_001,Default
